TrainerID;Nationality
3016;Austria
3018;Italy
3029;England
3030;Spain
3033;Portugal
3048;Croatia
3049;Scotland
3053;Netherlands
3054;Netherlands
3055;Belgium
3058;Hungary
3059;Hungary
3060;Germany
3062;Germany
3064;Italy
3065;Russia
3065;UdSSR
3075;Czech
3075;Republic
3078;Switzerland
3079;England
3080;England
3082;England
3098;England
3099;England
3100;England
3102;Germany
3103;Ireland
3105;Austria
3109;Italy
3112;Sweden
3113;Sweden
3115;Germany
3116;Germany
3117;Germany
3119;Sweden
3120;Sweden
3121;Sweden
3123;Sweden
3125;Sweden
3126;England
3127;England
3128;England
3129;England
3130;England
3131;England
3132;Ireland
3133;England
3138;Nigeria
3139;Poland
3143;Germany
3146;Germany
3158;Italy
3158;Slovenia
3159;England
3191;Germany
3193;Netherlands
3194;England
3195;Poland
3197;England
3208;States
3208;United
3217;Portugal
3219;England
3220;England
3226;Germany
3227;Germany
3228;Germany
3231;France
3232;Germany
3240;Switzerland
3240;Turkey
3241;Netherlands
3245;England
3249;Belgium
3252;Poland
3253;Austria
3256;Spain
3257;Italy
3257;Switzerland
3259;Portugal
3261;Scotland
3263;Czech
3263;Republic
3267;Germany
3270;Spain
3272;Germany
3287;Scotland
3291;Scotland
3292;Germany
3299;England
3301;England
3310;France
3311;England
3312;Ireland
3312;Northern
3319;Netherlands
3323;Colombia
3325;Sweden
3326;England
3333;Italy
3338;Germany
3347;Slovenia
3354;Czech
3354;Republic
3358;England
3363;Serbia
3380;Germany
3383;Slovenia
3384;Germany
3390;Belgium
3394;Germany
3397;England
3404;Slovakia
3408;Poland
3410;Germany
3412;Germany
3413;Norway
3415;England
3415;Serbia
3416;Germany
3418;Sweden
3419;Norway
3420;Norway
3423;Croatia
3424;Denmark
3425;Denmark
3427;Netherlands
3433;Poland
3435;Norway
3436;Italy
3438;Norway
3449;Belarus
3457;Germany
3458;Czech
3458;Republic
3475;Germany
3505;England
3507;Germany
3517;Italy
3520;Poland
3535;England
3540;England
3542;England
3543;Scotland
3577;France
3578;Scotland
3586;Argentina
3597;Serbia
3598;Croatia
3604;Serbia
3607;Belgium
3616;Germany
3618;Poland
3620;Poland
3623;Poland
3624;Ireland
3630;Italy
3630;Switzerland
3632;Slovenia
3657;Denmark
3660;England
3665;Scotland
3675;France
3694;Scotland
3697;Netherlands
3700;Belgium
3702;Romania
3705;Germany
3720;Germany
3721;Ireland
3722;Poland
3725;Belarus
3729;Belgium
3733;France
3736;France
3740;Belgium
3740;Macedonia
3740;North
3742;Netherlands
3753;England
3768;Lithuania
3770;Germany
3771;Slovakia
3773;Austria
3776;Italy
3778;Serbia
3780;Israel
3785;Netherlands
3786;Netherlands
3787;Netherlands
3793;Italy
3801;Netherlands
3816;Netherlands
3841;Netherlands
3843;Netherlands
3865;Germany
3866;England
3868;France
3869;Czech
3869;Republic
3870;Germany
3874;Serbia
3876;Poland
3877;Poland
3880;France
3882;England
3884;France
3888;France
3896;Italy
3896;Serbia
3904;Poland
3910;Netherlands
3923;Argentina
3923;Switzerland
3936;Cyprus
3936;Serbia
3939;France
3943;France
3946;France
3951;France
3962;France
3963;France
3967;France
3975;Argentina
3978;France
3979;France
3980;France
3994;Denmark
3995;Denmark
3997;Denmark
3999;France
4001;France
4002;Armenia
4002;France
4006;France
4010;Italy
4011;France
4025;Belgium
4025;France
4026;Cambodia
4026;France
4032;France
4035;France
4037;France
4039;France
4040;France
4042;Latvia
4044;Germany
4051;Norway
4052;Ireland
4053;Bulgaria
4055;Norway
4056;Ukraine
4059;Germany
4061;Portugal
4064;Portugal
4069;England
4070;Austria
4073;England
4078;Spain
4078;Uruguay
4079;England
4082;Hungary
4082;Romania
4083;Netherlands
4084;Netherlands
4085;Wales
4088;Serbia
4096;Scotland
4097;Turkey
4107;Wales
4111;Bosnia-Herzegovina
4112;Czech
4112;Republic
4119;Poland
4120;Poland
4121;Ireland
4121;Scotland
4125;England
4127;Scotland
4128;Ireland
4129;England
4131;England
4135;Wales
4136;England
4137;England
4140;England
4141;England
4142;Netherlands
4145;England
4146;England
4147;England
4147;Ireland
4149;England
4151;England
4152;England
4153;England
4155;England
4155;Wales
4158;Ireland
4160;France
4164;Scotland
4166;Germany
4174;Scotland
4175;Ireland
4176;Turkey
4181;Croatia
4182;Croatia
4183;Serbia
4192;Serbia
4197;Germany
4198;Spain
4204;Bosnia-Herzegovina
4204;Croatia
4208;Bosnia-Herzegovina
4217;Slovenia
4219;Serbia
4227;England
4228;England
4230;Barbados
4230;England
4240;Poland
4256;Serbia
4258;Germany
4266;Macedonia
4266;North
4271;Belgium
4271;Spain
4277;Germany
4282;Italy
4283;Switzerland
4284;Portugal
4299;Austria
4301;Germany
4303;Croatia
4326;Luxembourg
4326;Switzerland
4328;Spain
4335;Switzerland
4336;Switzerland
4337;Switzerland
4343;Russia
4344;Poland
4346;Russia
4347;Russia
4348;Russia
4350;Russia
4350;Ukraine
4356;Germany
4363;Ukraine
4371;Germany
4373;Hungary
4374;England
4385;Sweden
4392;Sweden
4394;Iceland
4396;Germany
4400;Sweden
4402;Sweden
4405;Sweden
4407;Sweden
4411;England
4411;Sweden
4417;Spain
4419;Bosnia-Herzegovina
4424;Denmark
4431;Norway
4432;Norway
4433;Sweden
4435;Sweden
4436;Norway
4440;Germany
4445;Scotland
4455;Croatia
4460;Germany
4462;Austria
4463;England
4464;Scotland
4465;Wales
4481;Serbia
4484;Germany
4487;Germany
4488;Germany
4488;Netherlands
4492;Germany
4502;Austria
4520;Serbia
4527;Serbia
4547;Serbia
4550;Serbia
4585;Poland
4586;Poland
4586;Spain
4589;France
4592;Russia
4593;Italy
4596;Poland
4601;Belgium
4607;Germany
4610;Germany
4618;Germany
4622;Germany
4626;Serbia
4628;Brazil
4645;Germany
4675;Hungary
4675;Romania
4676;Germany
4682;Germany
4688;Germany
4693;Argentina
4693;Spain
4695;Greece
4696;Poland
4705;Denmark
4708;Turkey
4715;Netherlands
4743;Belgium
4744;Germany
4751;Germany
4756;Croatia
4767;Russia
4773;Scotland
4775;Scotland
4776;Turkey
4784;Romania
4785;Romania
4786;Albania
4788;Romania
4789;Romania
4790;Italy
4791;Romania
4793;Romania
4794;Romania
4795;Romania
4796;Belgium
4796;Romania
4797;Romania
4798;Czech
4798;Republic
4819;Bosnia-Herzegovina
4819;Qatar
4824;Denmark
4826;Germany
4835;Croatia
4840;Scotland
4849;Germany
4850;Austria
4853;Germany
4853;Netherlands
4855;Austria
4861;Czech
4861;Republic
4878;Argentina
4882;Argentina
4882;Mexico
4890;Serbia
4895;Austria
4897;Austria
4897;Romania
4902;Italy
4905;Germany
4912;Switzerland
4917;Austria
4918;Austria
4939;Austria
4939;Poland
4955;Montenegro
4955;Netherlands
4959;Austria
4966;Poland
4971;Croatia
4972;Austria
4994;Cyprus
4994;Georgia
4995;Russia
4995;UdSSR
4996;Israel
5001;Romania
5002;Turkey
5006;Turkey
5016;Brazil
5018;Austria
5027;Germany
5029;Hungary
5034;France
5035;France
5036;France
5041;Netherlands
5051;Croatia
5051;Spain
5056;Ireland
5059;Russia
5060;England
5060;Finland
5063;France
5064;France
5065;France
5067;France
5071;Belarus
5075;Spain
5076;Germany
5078;Turkey
5081;Turkey
5082;Spain
5085;Spain
5089;Bulgaria
5095;Spain
5099;Ukraine
5100;Armenia
5100;Uruguay
5104;Russia
5107;Netherlands
5113;Spain
5125;Greece
5125;Serbia
5127;Poland
5144;Armenia
5149;Lithuania
5151;Albania
5164;Ukraine
5172;Spain
5177;Spain
5180;Spain
5191;Ukraine
5192;Ukraine
5197;Croatia
5205;Turkey
5206;Ukraine
5207;Ukraine
5221;Norway
5225;Spain
5227;Serbia
5229;Serbia
5232;Israel
5232;Poland
5236;Germany
5239;Scotland
5240;Hungary
5240;Ukraine
5247;Ukraine
5253;Germany
5255;Italy
5261;Slovenia
5269;Albania
5278;Spain
5293;Albania
5297;Austria
5304;Bulgaria
5304;Germany
5310;Germany
5311;Switzerland
5315;Germany
5319;Romania
5328;Germany
5338;Germany
5342;Italy
5354;Ireland
5354;Northern
5355;Scotland
5368;Spain
5372;Denmark
5374;Italy
5383;Scotland
5385;Italy
5387;England
5398;Netherlands
5398;Suriname
5401;Norway
5403;Germany
5408;Germany
5409;Netherlands
5410;Croatia
5412;Romania
5414;England
5416;Italy
5420;Italy
5424;Spain
5425;Greece
5428;Macedonia
5428;North
5429;Romania
5429;Turkey
5432;Italy
5433;France
5438;Portugal
5439;Ukraine
5440;Croatia
5441;Netherlands
5449;Scotland
5450;Scotland
5467;Germany
5470;Germany
5474;Germany
5477;Belgium
5480;Poland
5483;Poland
5493;Argentina
5501;Belgium
5511;Israel
