PlayerID;CompetitionID;Games;Goals;Assists;YellowCards;RedCards
179854;CL;2;0;0;0;0
179884;CL;1;0;0;0;0
179943;CL;2;0;0;0;0
180284;CL;0;0;0;0;0
180295;CL;2;0;0;0;0
180301;CL;2;0;0;0;0
180685;CL;2;0;0;0;0
180740;CL;1;0;0;0;0
181585;GB1;42;1;0;0;0
181939;CL;2;0;0;0;0
181950;CL;2;0;0;0;0
181955;CL;1;0;0;0;0
181964;CL;4;0;0;2;0
181974;CL;7;0;0;1;0
181978;CL;4;0;0;0;0
181988;CL;1;1;0;0;0
181989;CL;2;0;0;0;0
181991;CL;2;0;0;0;0
181992;CL;2;1;0;0;0
182009;CL;2;0;0;0;0
182011;CL;2;0;0;0;0
182020;CL;1;0;0;0;0
182023;CL;2;0;0;0;0
182702;CL;2;0;0;0;0
182807;CL;2;0;0;0;0
182809;CL;2;0;0;0;0
183289;CL;1;0;0;0;0
183468;CL;3;1;0;0;0
183550;CL;2;0;0;0;0
183552;CL;2;0;0;0;0
183561;CL;1;0;0;0;0
183576;CL;2;0;0;0;0
183579;CL;1;0;0;0;0
183584;CL;2;0;0;0;0
193796;GB1;24;1;0;1;0
195000;GB1;37;4;0;0;0
195180;GB1;20;0;0;1;0
195510;GB1;0;0;0;0;0
209817;GB1;42;0;0;1;0
222219;GB1;24;1;0;0;0
222252;GB1;38;4;0;8;0
222261;GB1;18;2;0;2;0
222487;GB1;24;5;0;1;0
222490;GB1;11;1;0;0;0
222506;GB1;20;2;0;1;0
222517;GB1;28;1;0;1;0
222518;GB1;4;0;0;0;0
222546;GB1;38;6;0;7;0
222733;GB1;14;0;0;0;0
222734;CL;0;0;0;0;0
222734;GB1;2;0;0;0;0
222894;GB1;26;1;0;1;0
223222;GB1;39;2;0;4;0
223290;GB1;4;0;0;0;0
223291;GB1;3;0;0;0;0
223302;GB1;13;0;0;0;0
223568;GB1;14;0;0;1;0
224365;GB1;3;1;0;0;0
224424;GB1;22;2;0;0;0
225076;GB1;5;0;0;0;0
225302;GB1;9;0;0;1;0
226549;GB1;13;0;0;3;0
226563;GB1;27;1;0;3;0
226772;GB1;13;0;0;3;0
226782;GB1;17;0;0;0;0
226955;GB1;19;0;0;1;0
227031;GB1;27;8;0;4;0
227043;GB1;18;6;0;1;0
227872;GB1;7;2;0;1;0
228052;GB1;0;0;0;0;0
228611;GB1;27;3;0;2;0
229823;GB1;5;0;0;0;0
229831;GB1;2;0;0;0;0
237375;GB1;2;0;0;0;0
238087;GB1;3;0;0;0;0
363339;CL;0;0;0;0;0
526892;CL;0;0;0;0;0
