PlayerID;Nationality
13775;Germany
13781;England
13785;England
13789;England
13792;England
13806;Germany
13809;Brazil
13827;Portugal
13864;Morocco
13865;Portugal
13868;Portugal
13897;Hungary
13912;Belarus
13940;Cote
13940;d'Ivoire
13940;France
13962;Portugal
13967;Portugal
14026;Ireland
14026;Northern
14028;England
14033;Australia
14074;England
14114;Portugal
14121;Portugal
14155;and
14155;Tobago
14155;Trinidad
14212;Italy
14212;Uruguay
14443;France
14549;Ghana
14560;Scotland
14606;Scotland
14642;Scotland
14656;Scotland
14673;England
14762;Scotland
14829;Iran
14830;Norway
14834;Netherlands
14862;Belgium
14867;Poland
14903;Poland
14906;Poland
14921;Africa
14921;South
14941;Ukraine
14958;Bulgaria
14958;Turkey
14965;Denmark
14969;Sweden
14970;Denmark
15020;Albania
15022;Portugal
15036;Africa
15036;South
15048;Denmark
15057;Denmark
15057;Morocco
15059;Belarus
15059;Russia
15073;Ukraine
15129;Finland
15129;Sweden
15169;Slovenia
15207;Sweden
15211;Finland
15228;Poland
15237;Poland
15283;Germany
15295;Netherlands
15296;Russia
15298;Russia
15298;Ukraine
15313;Denmark
15317;Latvia
15319;Croatia
15328;Croatia
15329;Croatia
15372;Russia
15390;Latvia
15399;Latvia
15435;Greece
15470;Finland
15474;Norway
15478;Guinea
15496;Belgium
15496;Guinea
15550;Netherlands
15550;Suriname
15629;Lithuania
15634;Croatia
15687;Russia
15712;France
15712;Liberia
15746;Russia
15823;Gambia
15823;The
15859;Georgia
15866;Russia
15867;Russia
15869;Czech
15869;Republic
15876;Uruguay
15896;France
15896;Guadeloupe
15950;Hungary
15985;Sweden
16057;Finland
16098;Norway
16167;Italy
16167;Romania
16239;Bosnia-Herzegovina
16255;Spain
16282;Iceland
16302;Switzerland
16348;Italy
16442;Serbia
16446;Costa
16446;Rica
16493;England
16496;Ghana
16572;Italy
16593;Spain
16686;Italy
16713;Turkey
16728;States
16728;United
16782;Germany
16855;Italy
16890;Italy
16907;Italy
16916;Belgium
16934;Macedonia
16934;North
17064;Bosnia-Herzegovina
17064;Serbia
17073;Austria
17174;Italy
17181;Serbia
17227;Greece
17277;Germany
17278;Russia
17284;Brazil
17299;Australia
17301;Denmark
17327;Germany
17333;Portugal
17409;Portugal
17713;Germany
17800;Russia
17939;Germany
17942;Germany
17942;Romania
17947;Germany
17972;Germany
17978;Croatia
17979;Czech
17979;Republic
17991;Netherlands
18191;Latvia
18196;Scotland
18202;Scotland
18328;Romania
18338;Croatia
18484;Germany
18503;Belgium
18511;Netherlands
18511;Suriname
18972;Croatia
19123;Italy
19189;France
19189;Morocco
19278;Sweden
19359;Belgium
19359;Congo
19359;DR
19372;Angola
19372;Rwanda
19436;Italy
19440;Italy
19846;England
20189;Switzerland
20716;Spain
20738;Italy
20745;Italy
20818;Cyprus
20828;Croatia
20828;Romania
20895;Italy
20904;Bosnia-Herzegovina
21024;Czech
21024;Republic
21033;Czech
21033;Republic
21089;Czech
21089;Republic
21094;Czech
21094;Republic
21152;Italy
21186;Italy
21321;France
21346;Germany
21364;Slovakia
21408;Italy
21645;Netherlands
21645;Turkey
21654;Sweden
21654;Venezuela
21661;Germany
21685;Germany
21685;Italy
21757;Italy
21789;Italy
21792;Italy
21793;Italy
21817;Italy
21826;Italy
21868;Italy
21884;Italy
21886;Italy
21904;Italy
21978;Italy
22030;Sweden
22057;Czech
22057;Republic
22082;Italy
22178;Denmark
22218;Italy
22225;Norway
22455;Uruguay
22466;Denmark
22485;Denmark
22497;Denmark
22498;Denmark
22543;Germany
22634;Serbia
22660;Hungary
22664;Iceland
22696;Denmark
22726;Scotland
22747;Italy
22766;Brazil
22766;Portugal
22775;Hungary
22789;Germany
22828;Denmark
22843;Denmark
22872;Denmark
22911;Denmark
22991;Italy
23012;Denmark
23013;France
23033;Spain
23170;Spain
23290;Spain
23304;Denmark
23583;England
23623;Norway
23720;Denmark
23721;Denmark
23738;Hungary
23759;Denmark
23975;France
23980;Slovakia
24040;Lithuania
24121;Russia
24143;Russia
24143;Turkmenistan
24178;Bulgaria
24246;Slovakia
24257;Croatia
24281;Sweden
24296;Italy
24304;Italy
24321;Italy
24456;Israel
24473;Israel
24474;Germany
24520;Poland
24531;Poland
24555;Poland
24562;Czech
24562;Republic
24591;Ireland
24625;Macedonia
24625;North
24703;Portugal
24904;Croatia
24922;Germany
24989;Italy
24989;Uruguay
25003;Russia
25011;Serbia
25014;Russia
25014;Ukraine
25043;Georgia
25043;Russia
25084;Russia
25099;Chile
25125;Finland
25135;Finland
25227;Iceland
25267;Germany
25282;Austria
25282;Poland
25292;Angola
25311;Finland
25313;Germany
25321;Belgium
25321;Croatia
25327;England
25333;Bulgaria
25335;Germany
25343;Germany
25356;Mozambique
25356;Portugal
25449;Germany
25605;Macedonia
25605;North
25606;Macedonia
25606;North
25610;Czech
25610;Republic
25781;Croatia
25794;Russia
25811;Belarus
25813;Bulgaria
25902;Belarus
25902;Russia
25917;Ukraine
25997;Germany
26060;Cameroon
26060;Romania
26282;Norway
26383;Argentina
26383;Spain
26417;Norway
26490;Romania
26492;Romania
26659;Norway
26661;Norway
26667;Norway
26678;Norway
26692;Norway
26695;Sweden
26724;Sweden
26755;Norway
26758;Norway
26773;Czech
26773;Republic
26867;Czech
26867;Republic
26896;Brazil
27014;Russia
27257;Cyprus
27268;Poland
27449;Paraguay
27647;Norway
27831;Macedonia
27831;North
27981;Croatia
28425;Bosnia-Herzegovina
28445;Bosnia-Herzegovina
28575;Bosnia-Herzegovina
28575;Serbia
28701;Serbia
28703;Serbia
28780;Scotland
28826;Italy
28873;Italy
29078;Spain
29110;Spain
29282;France
29313;France
29463;Bosnia-Herzegovina
29465;Argentina
29465;Italy
29489;Hungary
29490;Croatia
29515;Czech
29515;Republic
29529;Poland
29536;Poland
29556;Croatia
29861;Poland
29896;Greece
30363;Sweden
30387;Sweden
30537;Brazil
30537;Italy
30576;Peru
30799;Argentina
30805;Argentina
30805;Italy
30870;Argentina
30932;Argentina
30932;Italy
30936;Argentina
31020;Austria
31373;France
31373;Togo
31539;Germany
32253;Poland
32612;Portugal
32957;Poland
32990;Poland
33001;Poland
33060;Switzerland
33068;Wales
33069;Netherlands
33077;England
33151;Poland
33191;Poland
33197;Poland
33220;Czech
33220;Republic
33305;Germany
33500;Ireland
33500;Northern
33582;Poland
33670;Finland
33692;Poland
33730;Scotland
33983;Germany
34015;Brazil
34107;Germany
34502;Romania
34508;Romania
34513;Romania
34631;Ireland
34875;Angola
34875;Portugal
35032;Turkey
35054;Turkey
35371;Costa
35371;Rica
35372;Costa
35372;Rica
35382;Costa
35382;Rica
35559;Spain
35721;Sweden
35755;Sweden
35894;Montenegro
35894;Serbia
35914;Germany
36151;Montenegro
36287;Sweden
36549;Sweden
37192;Norway
37252;Norway
37434;Denmark
37887;Poland
38191;Germany
38616;Bosnia-Herzegovina
38616;Croatia
38678;Russia
38807;Norway
38938;Bosnia-Herzegovina
39458;States
39458;United
39585;Albania
39585;Nigeria
39597;Egypt
39670;Germany
39671;Netherlands
39976;Albania
40242;Germany
41048;Russia
41048;Ukraine
41298;Germany
41545;England
41545;Nigeria
41575;Sweden
42049;Italy
42640;Lithuania
43135;New
43135;Zealand
43138;England
43291;Romania
43335;Bosnia-Herzegovina
43340;Serbia
43600;Sweden
43610;Norway
43659;France
43833;Macedonia
43833;North
44160;Armenia
44282;Moldova
44487;England
44495;Denmark
44863;Israel
45040;Armenia
46035;Slovenia
46249;Bosnia-Herzegovina
46349;Bosnia-Herzegovina
46437;Slovenia
46470;Ghana
46770;France
47473;Romania
47774;Algeria
48025;Finland
48069;England
49014;Belarus
49047;Croatia
49131;Brazil
49291;Finland
49616;England
50087;Brazil
50380;Macedonia
50380;North
50444;Norway
50816;Argentina
50816;Italy
51119;Germany
51413;Spain
51670;Poland
51776;France
51776;Guadeloupe
54631;Albania
54631;Macedonia
54631;North
54677;Albania
54973;Brazil
55057;Hungary
55145;Argentina
55145;Spain
56139;Austria
56378;Brazil
56626;Italy
56940;&
56940;Grenadinen
56940;Ireland
56940;St.
56940;Vincent
57373;France
57408;Ireland
57431;Lithuania
