TrainerID;ClubID;Since
2708;114;1970-01-01
2709;260;1994-04-14
2710;95;2015-07-01
2711;588;2008-07-01
2715;71;2009-04-14
2716;38;2015-12-23
2723;238;2000-04-17
2724;5225;2017-10-04
2728;130;2001-01-09
2730;7769;2017-06-10
2740;2573;2018-06-04
2741;2573;2008-01-20
2748;448;2011-08-15
2753;1083;2011-07-01
2754;2698;2017-06-09
2755;932;2006-12-26
2761;1186;2002-07-18
2763;3008;2017-07-01
2764;1043;2009-11-09
2765;940;2007-10-08
2770;170;2017-04-09
2771;321;2013-03-26
2778;6139;2013-01-01
2783;312;2005-12-28
2786;167;1998-04-19
2790;459;2014-04-22
2795;328;1999-07-01
2802;428;2016-03-03
2803;413;2008-10-27
2808;527;2018-07-01
2810;434;2012-08-20
2816;1027;1990-03-20
2823;130;2008-07-01
2824;362;2007-07-01
2825;602;2017-11-27
2835;22220;2009-02-16
2836;8;2015-07-01
2837;496;2006-01-01
2838;1118;2006-01-01
2846;681;2004-06-02
2852;318;2012-07-12
2853;1123;2007-10-30
2856;663;2014-07-01
2858;197;2018-03-06
2859;197;2012-07-01
2861;365;2007-07-01
2862;941;2005-07-01
2863;2781;2006-01-01
2864;197;2017-03-14
2865;5225;2000-08-29
2866;5225;2010-07-01
2867;540;2010-11-08
2868;13;2012-01-01
2878;265;2006-06-01
2881;443;2011-04-13
2882;173;2015-07-01
2883;678;2009-01-01
2885;173;2007-01-25
2886;195;2008-06-01
2887;496;2016-01-08
2888;173;2007-03-13
2889;410;2006-02-10
2895;173;2012-07-01
2898;157;2018-10-10
2914;447;2015-04-13
2917;1390;1999-07-01
2919;3909;2013-05-24
2922;829;2018-06-17
2923;1038;1997-07-01
2924;447;2006-02-14
2931;395;1997-05-07
2934;22220;2014-06-21
2951;328;2012-01-01
2954;1075;2006-11-13
2961;312;2009-10-02
2975;222;2011-09-05
2989;60;2011-12-29
2991;170;2000-07-01
3000;409;2000-01-10
3003;14;1988-11-17
3005;14;1996-07-01
3006;10848;1994-10-02
3007;409;1995-08-29
3008;14;1998-05-17
3009;1;2001-08-24
3011;409;1988-04-18
3016;395;1993-07-01
3018;1390;2018-07-01
3030;156;2014-06-05
3033;2410;2003-11-24
3048;790;2005-07-01
3049;43;2012-06-26
3053;468;2013-07-01
3054;116;2018-04-16
3055;354;1995-08-25
3058;5378;2001-01-12
3059;279;2011-08-30
3062;66;2015-07-01
3064;410;2006-03-20
3065;232;1936-08-01
3075;62;2014-07-01
3078;452;2013-04-08
3079;289;1993-11-26
3080;289;1991-12-30
3082;984;1997-12-24
3098;4286;2017-05-18
3099;350;1999-06-15
3100;22;2006-01-30
3102;85;2006-03-16
3103;1039;2006-02-06
3105;14;2014-06-10
3109;416;2011-06-06
3112;496;1998-07-01
3113;353;2018-07-13
3115;97;1994-03-04
3116;57;1996-03-21
3117;97;1995-09-02
3119;272;1987-01-01
3120;2844;1958-01-01
3121;1044;1979-01-01
3123;5200;2016-06-02
3125;1236;1978-01-01
3127;1237;2002-07-15
3128;329;2000-10-02
3129;1237;1998-02-26
3130;1237;1996-12-11
3131;1237;1995-11-21
3132;1237;1993-12-15
3133;1237;1987-01-05
3138;329;2000-01-01
3139;255;1999-01-03
3143;82;2012-11-15
3146;299;1997-11-20
3158;800;2015-03-04
3159;8780;2014-06-21
3193;200;2011-10-18
3194;703;2006-02-16
3195;88;2016-10-24
3197;349;2001-11-09
3208;2288;2016-10-04
3217;1075;1994-03-27
