PlayerID;Position
8204;Left Winger
8204;Second Striker
8207;Centre-Back
8207;Right Midfield
8322;Central Midfield
8527;Centre-Back
8596;Defensive Midfield
8596;Sweeper
8721;Attacking Midfield
8721;Left Midfield
8902;Centre-Back
9030;Defensive Midfield
9030;Sweeper
9171;Attacking Midfield
9171;Right Winger
9205;Central Midfield
9205;Left Midfield
9210;Defensive Midfield
9287;Central Midfield
9498;Defensive Midfield
9544;Central Midfield
9552;Centre-Forward
9552;Second Striker
9590;Attacking Midfield
9593;Left-Back
9596;Centre-Forward
9596;Right Winger
9620;Left Winger
9620;Right Winger
9626;Left Winger
9626;Right Winger
9630;Left Midfield
9630;Left-Back
9635;Left Midfield
9635;Left-Back
9637;Attacking Midfield
9655;Second Striker
9659;Defensive Midfield
9662;Left Midfield
9662;Left Winger
9675;Left-Back
9679;Attacking Midfield
9679;Second Striker
9688;Centre-Back
9695;Left-Back
9714;Central Midfield
9714;Left Midfield
9733;Attacking Midfield
9733;Left Winger
9763;Defensive Midfield
9763;Left Midfield
9778;Left-Back
9782;Right-Back
9788;Central Midfield
9788;Centre-Back
9806;Centre-Forward
9806;Second Striker
9812;Right-Back
9821;Central Midfield
9823;Attacking Midfield
9830;Left Midfield
9830;Left-Back
9857;Attacking Midfield
9871;Defensive Midfield
9871;Left-Back
10001;Centre-Back
10001;Right Midfield
10134;Left Winger
10134;Left-Back
10138;Right Midfield
10251;Central Midfield
10298;Attacking Midfield
10298;Left Midfield
10318;Defensive Midfield
10378;Right Winger
10378;Right-Back
10450;Attacking Midfield
10450;Right Midfield
10566;Central Midfield
10566;Defensive Midfield
11670;Right-Back
12019;Left Winger
12019;Right Midfield
12053;Centre-Forward
12053;Defensive Midfield
12368;Left Midfield
12368;Right Winger
12373;Centre-Forward
12380;Central Midfield
12380;Right Midfield
12385;Attacking Midfield
12385;Defensive Midfield
12401;Left Winger
12401;Right Winger
12514;Left Winger
12514;Right Winger
12516;Centre-Forward
12516;Left Winger
12567;Attacking Midfield
12567;Left Winger
12582;Attacking Midfield
12582;Second Striker
12603;Centre-Back
12622;Second Striker
12665;Right Midfield
12665;Right-Back
12683;Centre-Back
12698;Centre-Back
12698;Right-Back
12707;Second Striker
