TrainerID;Nationality
26033;Italy
26034;Italy
26037;Italy
26061;Italy
26062;England
26063;Scotland
26064;England
26075;Spain
26092;Austria
26158;Italy
26208;Argentina
26211;Italy
26216;Serbia
26216;Turkey
26222;Spain
26257;Italy
26258;Italy
26287;Italy
26299;Italy
26301;Italy
26302;Italy
26317;Italy
26318;Italy
26321;Malta
26334;Austria
26338;England
26345;Czech Republic
26346;Wales
26352;England
26371;Russia
26428;Italy
26446;Brazil
26484;Italy
26489;Germany
26509;Finland
26512;Switzerland
26546;Paraguay
26549;Hungary
26598;Malta
26600;Portugal
26610;Czech Republic
26612;Ukraine
26626;Greece
26698;Northern Ireland
26702;Spain
26703;Hungary
26706;Scotland
26708;Hungary
26711;Netherlands
26715;Spain
26716;England
26719;England
26720;Scotland
26721;Poland
26722;England
26726;Spain
26727;Slovakia
26728;Portugal
26730;Hungary
26741;Portugal
26829;Netherlands
26830;Netherlands
26834;Netherlands
26865;Spain
26987;Sweden
26989;Russia
27007;Poland
27011;Poland
27013;Spain
27016;Spain
27051;Argentina
27051;Chile
27096;England
27097;England
27121;Argentina
27132;Germany
27137;Italy
27190;Belarus
27226;Netherlands
27313;Scotland
27331;Brazil
27343;Croatia
27344;Austria
27377;Italy
27380;Italy
27447;Brazil
27447;Italy
27462;Poland
27463;Germany
27464;Argentina
27464;Italy
27467;Switzerland
27493;Italy
27494;Italy
27513;Italy
27684;England
27711;Spain
27738;Hungary
27768;Italy
27769;Argentina
27788;Belarus
27907;Germany
27909;Romania
27938;England
27984;Italy
28023;Italy
28026;Italy
28044;Russia
28092;Russia
28092;UdSSR
28117;Northern Ireland
28119;Spain
28163;Poland
28172;Austria
28173;Austria
28174;Austria
28181;Austria
28183;Austria
28190;Poland
28191;Austria
28192;Austria
28193;Austria
28194;Austria
28198;Austria
28209;Austria
28277;Netherlands
28284;Lithuania
28287;Georgia
28301;Bulgaria
28326;Northern Ireland
28409;Norway
28437;Poland
28461;England
28472;Sweden
28480;Finland
28481;Brazil
28484;Argentina
28485;England
28486;Norway
28489;Germany
28490;France
28491;Serbia
28492;Turkey
28493;Serbia
28494;Turkey
28499;Bulgaria
28504;Scotland
28534;France
28535;England
28537;Uruguay
28541;Hungary
28542;Italy
28543;Serbia
28544;North Macedonia
28545;Turkey
28546;Austria
28547;Bulgaria
28558;Spain
28571;Norway
28608;Poland
28611;Poland
28648;Russia
28794;Romania
28795;Hungary
28802;England
28847;England
28900;Serbia
28933;Italy
29223;Spain
29231;Argentina
29485;Hungary
29527;Spain
29560;Croatia
29567;Spain
29652;Spain
29714;Hungary
29718;England
29953;Austria
29956;Poland
29959;Poland
29983;Norway
29992;Poland
30029;Germany
30139;Norway
30256;Hungary
30261;Romania
30323;Spain
30324;Spain
30422;Spain
30455;Russia
30455;UdSSR
30493;Malta
30538;Israel
30768;Denmark
30769;Czech Republic
30779;France
30781;Austria
30787;Denmark
30828;Austria
30913;Czech Republic
30966;Hungary
30967;Turkey
30980;Ireland
31003;England
31005;England
31006;Croatia
31006;Yugoslavia (Republic)
31011;Serbia
31012;Uruguay
31013;Hungary
31016;Hungary
31031;Germany
31039;Hungary
31040;Hungary
31041;Scotland
31042;Germany
31044;England
31051;Austria
31054;Serbia
31056;Poland
31057;England
31061;Argentina
31061;Italy
31062;Hungary
31088;Slovakia
31089;Austria
31091;Austria
31112;Austria
31116;Serbia
31118;Scotland
31122;Spain
31123;Spain
31124;Ireland
31127;Hungary
31128;Denmark
31135;England
31145;Austria
31154;Russia
31228;Ireland
31321;Ireland
31340;Spain
31401;Sweden
31402;Scotland
31409;Austria
31475;Ireland
31510;Italy
31511;Scotland
31513;Iceland
31514;Malta
31516;Switzerland
31524;Norway
31540;Mozambique
31540;Portugal
31554;Russia
31559;Armenia
31559;Russia
31573;Hungary
31574;England
31602;Czech Republic
31626;Switzerland
31638;England
31712;Turkey
31824;Scotland
31853;Italy
31857;Netherlands
31859;Bulgaria
31860;Austria
31898;France
31940;Bulgaria
31942;Poland
31945;Italy
31945;Luxembourg
31948;England
31954;Norway
31955;Denmark
31963;Bosnia-Herzegovina
31963;Serbia
31976;Russia
31982;Belarus
31986;Spain
31992;Norway
31997;Czech Republic
32006;Czech Republic
32026;Scotland
32027;Hungary
32029;Russia
32030;Ireland
32036;England
32037;England
32038;Austria
32038;Croatia
32039;Poland
32040;Ireland
32041;Austria
32043;Bulgaria
32046;Germany
32047;Romania
32051;Czech Republic
32059;Norway
32062;Bulgaria
32063;Czech Republic
32063;Hungary
32064;Serbia
32070;Poland
32074;Romania
32075;Czech Republic
32076;Denmark
32094;Russia
32102;Croatia
32103;Malta
32109;England
32110;Finland
32115;Finland
32120;Bulgaria
32132;Belgium
32134;Denmark
32179;Germany
32180;Netherlands
32197;Norway
32198;Croatia
32200;Iceland
32209;Denmark
32210;Luxembourg
32212;Romania
32234;Hungary
32241;Hungary
32248;France
32248;Spain
32251;Italy
32253;Germany
32254;Scotland
32263;Iceland
32264;Croatia
32270;Denmark
32271;Norway
32274;Hungary
32282;Czech Republic
32284;Poland
32285;Sweden
32290;Russia
32292;England
32299;Spain
32302;Iceland
32313;Sweden
32322;Finland
32392;Italy
32413;Hungary
32413;Switzerland
32414;Poland
32434;Argentina
32434;Italy
32435;Belgium
32436;Hungary
32438;Scotland
32445;Luxembourg
32446;UdSSR
32447;Italy
32459;Ireland
32462;Russia
32464;UdSSR
32470;Israel
32474;Ireland
32474;Northern Ireland
32507;France
32509;Slovakia
32518;Czech Republic
32520;Belgium
32523;UdSSR
32542;Portugal
32549;Luxembourg
32573;Portugal
32576;England
32580;Belgium
32581;Norway
32582;Denmark
32588;Germany
32589;Germany
32591;England
32592;Czech Republic
32595;Romania
32599;Italy
32653;Argentina
32660;Denmark
32674;Norway
32675;Poland
32684;Czech Republic
32706;Germany
32708;Hungary
32709;Germany
32715;Bosnia-Herzegovina
32717;Poland
32731;Paraguay
32739;Cyprus
32742;Netherlands
32742;Serbia
32744;Sweden
32745;England
32746;Norway
32747;Norway
32749;Netherlands
32753;Bulgaria
32762;Germany
32771;Hungary
32773;Brazil
32774;Iceland
32776;Russia
32776;Ukraine
32777;Finland
32781;Sweden
32783;Poland
32784;Denmark
32791;Czech Republic
32806;Poland
32809;Austria
32813;Finland
32831;Slovakia
32833;England
32842;Malta
32844;Romania
32847;Bosnia-Herzegovina
32847;Croatia
32848;Norway
32863;Russia
32863;Ukraine
32874;Turkey
32885;France
32886;Poland
32890;Ireland
32892;Switzerland
32893;Norway
32919;Spain
32922;Hungary
32924;Poland
32925;France
32927;England
32931;Italy
32938;France
32947;Wales
32949;Luxembourg
32954;Denmark
33007;Austria
33007;Czech Republic
33009;Poland
33010;France
33019;Belgium
33025;Serbia
33102;Israel
33106;Norway
33107;Austria
33107;France
33128;Luxembourg
33130;Germany
33134;Italy
33163;Italy
33187;Czech Republic
33187;Switzerland
33222;Spain
33227;Spain
33237;Spain
33242;Hungary
33246;Spain
33270;Spain
33272;Spain
33276;Spain
33278;Spain
33282;Spain
33284;Spain
33285;Spain
33287;Spain
33290;Brazil
33290;Spain
33291;Spain
33292;Spain
33301;Spain
33305;Spain
33328;Spain
33329;Brazil
33330;Spain
33330;Uruguay
33332;Argentina
33332;Spain
33371;Spain
